NAME                     INSTALLED                        FIXED IN                                             TYPE            VULNERABILITY        SEVERITY    EPSS          RISK
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-8461        Medium      1.3% (67th)   0.7
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-8461        Medium      1.3% (67th)   0.7
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2026-8461        Medium      1.3% (67th)   0.7
libexpat1                2.4.7-1ubuntu0.7                                                                      deb             CVE-2025-59375       Medium      1.3% (66th)   0.6
openssl                  3.3.2                            1.0.2zn, 1.1.1ze, 3.0.19, *3.3.6, 3.4.4, ...         UnknownPackage  CVE-2025-69421       High        0.8% (54th)   0.6
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.9                                     deb             CVE-2026-33846       Medium      1.3% (66th)   0.6
openssl                  3.3.2                            1.1.1zg, 3.0.20, *3.3.7, 3.4.5, 3.5.6, ...           UnknownPackage  CVE-2026-28387       High        0.8% (52nd)   0.6
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.6                                     deb             CVE-2024-12243       Medium      1.2% (66th)   0.6
libtasn1-6               4.18.0-4build1                   4.18.0-4ubuntu0.2                                    deb             CVE-2021-46848       Low         2.1% (79th)   0.6
python                   3.11.10                          3.9.23, 3.10.18, *3.11.13, 3.12.11, ...              UnknownPackage  CVE-2025-4330        High        0.8% (52nd)   0.6
libssl3                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.23                                    deb             CVE-2026-31790       Medium      1.2% (65th)   0.6
openssl                  3.0.2-0ubuntu1.18                3.0.2-0ubuntu1.23                                    deb             CVE-2026-31790       Medium      1.2% (65th)   0.6
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.7                                     deb             CVE-2025-32988       Medium      1.2% (64th)   0.6
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.7                                     deb             CVE-2025-32989       Medium      1.2% (64th)   0.6
libaom3                  3.3.0-1ubuntu0.1                                                                      deb             CVE-2023-6879        Medium      1.2% (64th)   0.6
openssl                  3.3.2                            1.1.1ze, 3.0.19, *3.3.6, 3.4.4, 3.5.5, ...           UnknownPackage  CVE-2025-69420       High        0.8% (51st)   0.6
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-7055        Medium      1.1% (63rd)   0.6
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-7055        Medium      1.1% (63rd)   0.6
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-7055        Medium      1.1% (63rd)   0.6
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-7055        Medium      1.1% (63rd)   0.6
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-7055        Medium      1.1% (63rd)   0.6
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-7055        Medium      1.1% (63rd)   0.6
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-7055        Medium      1.1% (63rd)   0.6
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-7055        Medium      1.1% (63rd)   0.6
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-7055        Medium      1.1% (63rd)   0.6
python                   3.11.10                          *3.13.14, 3.14.6, 3.15.0b2                           UnknownPackage  CVE-2026-7210        High        0.8% (52nd)   0.6
python                   3.11.10                          3.9.21, 3.10.16, *3.11.11, 3.12.8, ...               UnknownPackage  CVE-2024-50602       Medium      1.0% (60th)   0.6
libjpeg-turbo8           2.1.2-0ubuntu1                                                                        deb             CVE-2018-10126       Low         1.9% (77th)   0.6
libjpeg-turbo8-dev       2.1.2-0ubuntu1                                                                        deb             CVE-2018-10126       Low         1.9% (77th)   0.6
libtasn1-6               4.18.0-4build1                   4.18.0-4ubuntu0.2                                    deb             CVE-2025-13151       Medium      1.1% (62nd)   0.6
libcairo-gobject2        1.16.0-5ubuntu2.1                                                                     deb             CVE-2017-7475        Low         1.8% (76th)   0.5
libcairo2                1.16.0-5ubuntu2.1                                                                     deb             CVE-2017-7475        Low         1.8% (76th)   0.5
libtasn1-6               4.18.0-4build1                   4.18.0-4ubuntu0.1                                    deb             CVE-2024-12133       Medium      1.1% (61st)   0.5
libpng-dev               1.6.37-3build5                   1.6.37-3ubuntu0.5                                    deb             CVE-2026-33416       Medium      1.1% (60th)   0.5
libpng16-16              1.6.37-3build5                   1.6.37-3ubuntu0.5                                    deb             CVE-2026-33416       Medium      1.1% (60th)   0.5
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.9                                     deb             CVE-2026-42010       Medium      1.1% (60th)   0.5
libopenjp2-7             2.4.0-6ubuntu0.5                                                                      deb             CVE-2019-6988        Low         1.7% (75th)   0.5
python                   3.11.10                                                                               UnknownPackage  CVE-2026-11940       High        0.6% (46th)   0.5
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-31578       Medium      1.0% (58th)   0.5
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-31578       Medium      1.0% (58th)   0.5
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-31578       Medium      1.0% (58th)   0.5
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-31578       Medium      1.0% (58th)   0.5
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-31578       Medium      1.0% (58th)   0.5
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-31578       Medium      1.0% (58th)   0.5
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-31578       Medium      1.0% (58th)   0.5
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-31578       Medium      1.0% (58th)   0.5
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-31578       Medium      1.0% (58th)   0.5
starlette                0.47.3                           0.49.1                                               python          GHSA-7f5h-v6xp-fcq8  High        0.6% (46th)   0.5
libpng-dev               1.6.37-3build5                   1.6.37-3ubuntu0.4                                    deb             CVE-2026-25646       Medium      1.0% (57th)   0.5
libpng16-16              1.6.37-3build5                   1.6.37-3ubuntu0.4                                    deb             CVE-2026-25646       Medium      1.0% (57th)   0.5
libzstd1                 1.4.8+dfsg-3build1                                                                    deb             CVE-2022-4899        Low         1.6% (73rd)   0.5
python                   3.11.10                          *3.13.14, 3.14.5rc1, 3.15.0b1                        UnknownPackage  CVE-2026-6100        High        0.6% (44th)   0.5
python                   3.11.10                          3.9.24, 3.10.19, *3.11.14, 3.12.12, ...              UnknownPackage  CVE-2025-8194        High        0.6% (45th)   0.5
python                   3.11.10                          3.9.21, 3.10.16, *3.11.11, 3.12.8, ...               UnknownPackage  CVE-2024-9287        High        0.6% (47th)   0.5
libcairo-gobject2        1.16.0-5ubuntu2.1                                                                     deb             CVE-2018-18064       Low         1.5% (71st)   0.4
libcairo2                1.16.0-5ubuntu2.1                                                                     deb             CVE-2018-18064       Low         1.5% (71st)   0.4
python                   3.11.10                          *3.13.13, 3.14.4, 3.15.0a8                           UnknownPackage  CVE-2026-4224        High        0.6% (46th)   0.4
python                   3.11.10                          3.15.0                                               UnknownPackage  CVE-2026-15308       High        0.6% (42nd)   0.4
libdbus-1-3              1.12.20-2ubuntu4.1                                                                    deb             CVE-2023-34969       Low         1.4% (70th)   0.4
jaraco-context           5.3.0                            6.1.0                                                python          GHSA-58pv-8j8x-9vj2  High        0.5% (41st)   0.4
transformers             4.57.3                           5.5.0                                                python          GHSA-fgcw-684q-jj6r  High        0.5% (42nd)   0.4
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3341        Medium      0.8% (53rd)   0.4
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3341        Medium      0.8% (53rd)   0.4
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3341        Medium      0.8% (53rd)   0.4
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3341        Medium      0.8% (53rd)   0.4
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3341        Medium      0.8% (53rd)   0.4
